,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,136229332,0000000000,【苏宁易购超市】伊利 味可滋巧克力风味牛奶 240ml*12盒 礼盒装 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,30.00,7862.0,7744.0,74.0,44.0,1,http://product.suning.com/0000000000/136229332.html,2017-06-10 17:37:48
1,615194315,0000000000,【苏宁易购超市】伊利 味可滋咖啡牛奶 240ml*12盒 礼盒装 伊利(YILI)风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,39.00,34.0,34.0,0.0,0.0,1,http://product.suning.com/0000000000/615194315.html,2017-06-10 17:37:57
2,126439055,0000000000,【苏宁易购超市】伊利 味可滋木瓜风味牛奶 240ml*12盒 礼盒装 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,51.00,631.0,620.0,5.0,6.0,1,http://product.suning.com/0000000000/126439055.html,2017-06-10 17:38:06
3,109830038,0000000000,【苏宁易购超市】伊利 味可滋香蕉牛奶 240ml*12盒 礼盒装 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,30.00,14723.0,14400.0,165.0,158.0,1,http://product.suning.com/0000000000/109830038.html,2017-06-10 17:38:16
4,128832343,0000000000,【苏宁易购超市】伊利 味可滋哈密瓜风味牛奶、 240ml*12盒 礼盒装 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,60.00,204.0,201.0,2.0,1.0,1,http://product.suning.com/0000000000/128832343.html,2017-06-10 17:38:25
5,945006699,0000000000,伊利味可滋香蕉1提+味可滋巧克力1提（买就送出游收纳六件套） 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006699.html,2017-06-10 17:38:34
6,945006697,0000000000,伊利谷粒多红谷1提+味可滋哈密瓜1提（买就送出游收纳六件套） 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006697.html,2017-06-10 17:38:43
7,945006700,0000000000,伊利味可滋香蕉1提+味可滋哈密瓜1提（买就送出游收纳六件套） 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006700.html,2017-06-10 17:38:51
8,945012810,0000000000,伊利舒化高钙无乳糖牛奶+伊利味可滋香蕉牛奶果味牛奶 优惠套装 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,112.80,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945012810.html,2017-06-10 17:39:00
