,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,109828679,0000000000,【苏宁易购超市】伊利 无菌砖纯牛奶 250ml*16盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,40.80,29571.0,28401.0,616.0,554.0,1,http://product.suning.com/0000000000/109828679.html,2017-06-11 10:35:53
1,109829169,0000000000,【苏宁易购超市】伊利 无菌砖纯牛奶 250ml*24盒 箱装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,61.20,7243.0,6913.0,161.0,169.0,1,http://product.suning.com/0000000000/109829169.html,2017-06-11 10:36:04
2,109829379,0000000000,【苏宁易购超市】伊利 无菌砖纯牛奶 1L*6盒 礼盒装 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,55.08,2181.0,2131.0,24.0,26.0,1,http://product.suning.com/0000000000/109829379.html,2017-06-11 10:36:15
