,itemid,impressions,grab_time
0,104618683,价格便宜:8109-性价比高 :6313-口感很好:6100-发货很快:5974-味道香而浓郁:5474-日期新鲜:5377-服务很好:5173-新鲜:4039-适合早餐:1160,2017-06-11 10:30:04
1,104618684,价格便宜:5254-性价比高 :4420-口感很好:4397-发货很快:4335-味道香而浓郁:3950-日期新鲜:3748-服务很好:3631-新鲜:2613-适合早餐:272,2017-06-11 10:30:15
2,144930661,口感很好:125-发货很快:124-味道香而浓郁:120-价格便宜:110-服务很好:110-日期新鲜:107-性价比高 :103-新鲜:84-超级难喝:1,2017-06-11 10:30:26
3,104618702,口感很好:541-发货很快:528-价格便宜:515-性价比高 :462-日期新鲜:441-服务很好:435-味道香而浓郁:422-新鲜:220-送货快:59,2017-06-11 10:30:38
4,945009436,,2017-06-11 10:30:49
5,945009437,,2017-06-11 10:31:00
6,945009429,,2017-06-11 10:31:11
7,144917093,味道香而浓郁:306-发货很快:300-口感很好:278-价格便宜:265-性价比高 :255-服务很好:241-日期新鲜:236-新鲜:227,2017-06-11 10:31:22
