,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,137192474,0000000000,【苏宁易购超市】蒙牛 纯甄 常温原味酸奶 200g*24盒 礼盒装 蒙牛酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,84.90,44054.0,43258.0,463.0,333.0,1,http://product.suning.com/0000000000/137192474.html,2017-06-10 17:53:46
1,104618685,0000000000,【苏宁易购超市】蒙牛 纯甄 常温原味酸奶 200g*12盒 礼盒装 蒙牛酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,59.40,18292.0,17772.0,305.0,215.0,1,http://product.suning.com/0000000000/104618685.html,2017-06-10 17:53:55
2,131207169,0000000000,【苏宁易购超市】蒙牛 纯甄 常温原味酸奶 200g*6盒 礼盒装 蒙牛酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,33.00,17962.0,17586.0,234.0,142.0,1,http://product.suning.com/0000000000/131207169.html,2017-06-10 17:54:04
3,611485596,0070134989,【牛奶小镇】蒙牛 纯甄酸牛奶 原味酸奶 200g*12盒 蒙牛(MENGNIU)酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,52.80,843.0,836.0,6.0,1.0,1,http://product.suning.com/0070134989/611485596.html,2017-06-10 17:54:13
4,606673099,0000000000,【苏宁易购超市】蒙牛 纯甄 常温原味酸奶 200g*16盒 礼盒装 蒙牛(MENGNIU)酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,59.90,34.0,34.0,0.0,0.0,1,http://product.suning.com/0000000000/606673099.html,2017-06-10 17:54:22
5,137192474,0070078374,蒙牛纯甄巴氏杀菌热处理风味酸牛奶利乐钻200g*24/箱 蒙牛酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,119.00,314.0,304.0,4.0,6.0,1,http://product.suning.com/0070078374/137192474.html,2017-06-10 17:54:32
6,104618685,0070134989,【牛奶小镇】蒙牛 纯甄酸牛奶 原味酸奶 200g*12盒 4月生产 蒙牛酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,54.80,426.0,413.0,7.0,6.0,1,http://product.suning.com/0070134989/104618685.html,2017-06-10 17:54:41
7,153868367,0070078374,蒙牛纯甄常温酸奶利乐钻200g*6盒*2箱 新老包装随机发货 蒙牛(MENGNIU)酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,66.00,539.0,529.0,5.0,5.0,1,http://product.suning.com/0070078374/153868367.html,2017-06-10 17:54:50
8,945002194,0000000000,蒙牛纯甄酸牛奶200g*6盒*2箱 优惠套餐 酸奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,52.80,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945002194.html,2017-06-10 17:54:59
9,945012862,0000000000,蒙牛 纯甄酸牛奶200g*6盒*3箱 超值套装 酸奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,99.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945012862.html,2017-06-10 17:55:08
10,945012507,0000000000,蒙牛纯牛奶PURE MILK250ml*16盒纯甄酸牛奶200g*6盒组合套餐装 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,87.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945012507.html,2017-06-10 17:55:20
11,129035533,0070078374,【中粮我买网】蒙牛纯甄酸牛奶（200g*12）箱 蒙牛(MENGNIU)纯牛奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,69.00,576.0,547.0,17.0,12.0,1,http://product.suning.com/0070078374/129035533.html,2017-06-10 17:55:30
