,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,156997288,0000000000,【苏宁超市】QQ星儿童风味酸奶205g*12 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,66.00,1842,1826,7,9,1,http://product.suning.com/0000000000/156997288.html,2017-08-07 14:18:54
1,109821559,0000000000,【苏宁超市】伊利 QQ星 儿童成长牛奶 健固儿童营养 礼盒装 20*125ml 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,49.00,6109,6019,56,34,1,http://product.suning.com/0000000000/109821559.html,2017-08-07 14:19:06
2,109828104,0000000000,【苏宁超市】伊利 QQ星儿童成长牛奶 全聪190ml*15盒 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,53.00,2977,2878,51,48,1,http://product.suning.com/0000000000/109828104.html,2017-08-07 14:19:17
3,109827054,0000000000,【苏宁超市】伊利 QQ星 儿童成长牛奶 均善儿童营养 礼盒装 20*125ml 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,54.00,2637,2561,41,35,1,http://product.suning.com/0000000000/109827054.html,2017-08-07 14:19:28
4,126437334,0000000000,【苏宁超市】伊利QQ星儿童成长草莓牛奶16*125ml 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,36.80,1965,1952,10,3,1,http://product.suning.com/0000000000/126437334.html,2017-08-07 14:19:39
5,109828106,0000000000,【苏宁超市】伊利 QQ星 儿童成长牛奶 均善儿童营养 礼盒装 15*190ml 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,59.80,1852,1779,40,33,1,http://product.suning.com/0000000000/109828106.html,2017-08-07 14:19:51
6,126437966,0000000000,【苏宁超市】伊利QQ星儿童成长香草冰淇淋牛奶16*125ml 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,36.80,4118,4035,45,38,1,http://product.suning.com/0000000000/126437966.html,2017-08-07 14:20:02
