,itemid,impressions,grab_time
0,165053371,性价比高 :157-发货很快:155-口感很好:154-价格便宜:152-日期新鲜:147-服务很好:126-味道香而浓郁:125-新鲜:120-味道正:1,2017-06-11 10:34:13
1,109820780,价格便宜:330-发货很快:324-口感很好:317-日期新鲜:317-性价比高 :311-味道香而浓郁:293-服务很好:259-新鲜:248-营养丰富:14,2017-06-11 10:34:24
2,125578362,适合老人:185-价格便宜:143-送货快:130-包装完好:125-正品:101-营养丰富:100-味浓香醇:79-发货很快:43-服务很好:42,2017-06-11 10:34:35
3,125578127,适合老人:179-价格便宜:155-包装完好:129-送货快:120-营养丰富:99-正品:95-味浓香醇:73-适合早餐:36-发货很快:32,2017-06-11 10:34:47
4,627365297,,2017-06-11 10:34:58
5,627365298,,2017-06-11 10:35:09
6,945012810,,2017-06-11 10:35:20
