,itemid,shopid,shopTitle,shop_url,shop_describe,shop_serve,shop_shiping,grab_time
0,131257768,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:04:47
1,131256262,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:04:59
2,107063899,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:05:10
3,131257568,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:05:22
4,131255503,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:05:34
5,131255456,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:05:45
6,131255619,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:05:57
7,131255076,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:06:09
8,131255926,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:06:20
9,601758867,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:06:32
10,601449891,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:06:44
11,945015037,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:06:57
12,945016821,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:07:08
13,131257888,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:07:20
14,131246064,0000000000,,http://shop.suning.com/0/consoleIndex.html,,,,2017-08-07 21:07:32
