,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,129246426,0000000000,【苏宁易购超市】伊利 优酸乳 牛奶饮品 原味250ml*24 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,40.80,1608.0,1574.0,19.0,15.0,1,http://product.suning.com/0000000000/129246426.html,2017-06-11 10:38:20
1,147599713,0000000000,伊利 优酸乳 爆趣珠乳饮料苹果味 250ml*24 伊利风味奶?【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,51.00,253.0,250.0,2.0,1.0,1,http://product.suning.com/0000000000/147599713.html,2017-06-11 10:38:31
2,133253001,0000000000,伊利果粒优酸乳草莓味245g*12/箱 伊利酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,32.00,132.0,131.0,1.0,0.0,1,http://product.suning.com/0000000000/133253001.html,2017-06-11 10:38:43
3,610593866,0000000000,伊利 果粒优酸乳芒果味245g*12/箱 伊利(YILI)酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,32.00,1.0,1.0,0.0,0.0,1,http://product.suning.com/0000000000/610593866.html,2017-06-11 10:38:54
4,610593867,0000000000,伊利 果粒优酸乳哈密瓜味245g*12/箱 伊利(YILI)酸奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,32.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/610593867.html,2017-06-11 10:39:06
5,627365295,0070134989,【牛奶小镇】伊利 优酸乳 原味 250ml×24盒 伊利(YILI)含乳饮料【价格 图片 品牌 报价】-苏宁易购兰锐贸易食品专营店,49.80,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070134989/627365295.html,2017-06-11 10:39:17
6,627817857,0070134989,【牛奶小镇】伊利 优酸乳 草莓味 250ml×24盒 伊利(YILI)含乳饮料【价格 图片 品牌 报价】-苏宁易购兰锐贸易食品专营店,71.00,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070134989/627817857.html,2017-06-11 10:39:28
