,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,153368847,0000000000,【苏宁易购超市】蒙牛 甜小嗨 甜牛奶常温牛奶（女版） 250ml*12盒 箱装 蒙牛(MENGNIU)纯牛奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,39.90,2359.0,2322.0,18.0,19.0,1,http://product.suning.com/0000000000/153368847.html,2017-06-10 16:03:51
1,153368846,0000000000,【苏宁易购超市】蒙牛 甜小嗨 甜牛奶常温牛奶（男版） 250ml*12盒 箱装 蒙牛(MENGNIU)纯牛奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,39.90,2190.0,2153.0,22.0,15.0,1,http://product.suning.com/0000000000/153368846.html,2017-06-10 16:04:01
2,187724232,0000000000,【苏宁易购超市】蒙牛 甜小嗨 常温风味酸牛奶 200g*12盒 箱装 蒙牛(MENGNIU)酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,39.90,1009.0,997.0,7.0,5.0,1,http://product.suning.com/0000000000/187724232.html,2017-06-10 16:04:10
3,155514730,0070078374,蒙牛甜小嗨甜牛奶（男版）250ml*12包 蒙牛(MENGNIU)纯牛奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,49.90,0.0,0.0,0.0,0.0,1,http://product.suning.com/0070078374/155514730.html,2017-06-10 16:04:19
4,156156338,0070115659,新疆红枣500g*3袋装小枣零食熬汤枣子泡水枣甜枣红枣喀什灰枣 太子哥哥(TAI ZI GE GE)枣子【价格 图片 品牌 报价】-苏宁易购太子哥哥官方旗舰店,39.90,3137.0,3056.0,57.0,24.0,1,http://product.suning.com/0070115659/156156338.html,2017-06-10 16:04:29
