,itemid,shopid,shopTitle,shop_url,shop_describe,shop_serve,shop_shiping,grab_time
0,153368847,0000000000, √…≈£πŸ∑Ω∆ÏΩ¢µÍ ,http://shop.suning.com/0/index.html,,,,2017-06-10 16:03:51
1,153368846,0000000000, √…≈£πŸ∑Ω∆ÏΩ¢µÍ ,http://shop.suning.com/0/index.html,,,,2017-06-10 16:04:01
2,187724232,0000000000, √…≈£πŸ∑Ω∆ÏΩ¢µÍ ,http://shop.suning.com/0/index.html,,,,2017-06-10 16:04:10
3,155514730,0070078374,÷–¡∏Œ“¬ÚÕ¯πŸ∑Ω∆ÏΩ¢µÍ,http://shop.suning.com/70078374/index.html,4.9,4.91,4.89,2017-06-10 16:04:19
4,156156338,0070115659,Ã´◊”∏Á∏ÁπŸ∑Ω∆ÏΩ¢µÍ,http://shop.suning.com/70115659/index.html,4.86,4.91,4.91,2017-06-10 16:04:29
