,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,104618700,0000000000,【苏宁易购超市】蒙牛 奶特朱古力风味牛奶 243ml*12盒 礼盒装 蒙牛风味奶?【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,,6256.0,6027.0,128.0,101.0,1,http://product.suning.com/0000000000/104618700.html,2017-06-11 10:28:30
1,103995013,0000000000,【苏宁易购超市】蒙牛 奶特香草风味牛奶 243ml*12盒 礼盒装 蒙牛风味奶?【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,58.80,3473.0,3377.0,52.0,44.0,1,http://product.suning.com/0000000000/103995013.html,2017-06-11 10:28:41
2,104618677,0000000000,【苏宁易购超市】蒙牛 奶特香蕉风味牛奶 243ml*12盒 礼盒装 蒙牛(MENGNIU)风味奶?【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,,1951.0,1906.0,23.0,22.0,1,http://product.suning.com/0000000000/104618677.html,2017-06-11 10:28:52
