,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
21,109820550,0070134989,【牛奶小镇】伊利 金典纯牛奶 250ml*12盒 4月生产 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,59.80,756.0,731.0,15.0,10.0,1,http://product.suning.com/0070134989/109820550.html,2017-06-10 17:25:28
22,627365298,0070134989,【牛奶小镇】伊利 舒化奶 无乳糖牛奶 高钙型 250ml×12盒 4月生产 伊利(YILI)纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,50.80,9.0,9.0,0.0,0.0,1,http://product.suning.com/0070134989/627365298.html,2017-06-10 17:25:38
23,627365297,0070134989,【牛奶小镇】伊利 舒化奶 无乳糖牛奶 低脂型 250ml×12盒 4月生产 伊利(YILI)纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,50.80,9.0,9.0,0.0,0.0,1,http://product.suning.com/0070134989/627365297.html,2017-06-10 17:25:47
24,945006188,0000000000,买谷粒多黑谷送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006188.html,2017-06-10 17:25:56
25,945006187,0000000000,买谷粒多燕麦送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006187.html,2017-06-10 17:26:06
26,945006189,0000000000,买谷粒多红谷送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006189.html,2017-06-10 17:26:15
27,945005701,0000000000,买安幕希原味送手提袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945005701.html,2017-06-10 17:26:24
28,945005703,0000000000,买安幕希香草送手提袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945005703.html,2017-06-10 17:26:35
29,945006184,0000000000,买伊利金典送手提袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006184.html,2017-06-10 17:26:46
30,945006185,0000000000,买金典低脂送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006185.html,2017-06-10 17:26:55
31,945005702,0000000000,买安幕希蓝莓送手提袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945005702.html,2017-06-10 17:27:06
32,945006186,0000000000,买金典有机送单提礼袋 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006186.html,2017-06-10 17:27:16
33,109828104,0000000000,【苏宁易购超市】伊利QQ星儿童成长牛奶全聪190ml*15盒 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,53.00,2563.0,2465.0,50.0,48.0,1,http://product.suning.com/0000000000/109828104.html,2017-06-10 17:27:25
34,109827054,0000000000,【苏宁易购超市】伊利QQ星儿童成长牛奶均善儿童营养礼盒装20*125ml 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,54.00,2170.0,2094.0,41.0,35.0,1,http://product.suning.com/0000000000/109827054.html,2017-06-10 17:27:35
35,173149683,0000000000,伊利赠品-出游收纳6件套（此为赠品，请勿单独拍下，单独拍下不发货） 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,39.90,16.0,14.0,0.0,2.0,1,http://product.suning.com/0000000000/173149683.html,2017-06-10 17:27:44
36,170164091,0000000000,伊利赠品-乐扣储物罐三件套（赠品，单独拍下不发货，请勿单独拍下） 伊利纯牛奶【价格 图片 品牌 报价】-苏宁易购伊利官方旗舰店,50.00,31.0,30.0,0.0,1.0,1,http://product.suning.com/0000000000/170164091.html,2017-06-10 17:27:53
37,945012810,0000000000,伊利舒化高钙无乳糖牛奶+伊利味可滋香蕉牛奶果味牛奶 优惠套装 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,112.80,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945012810.html,2017-06-10 17:28:03
38,945006182,0000000000,买2提安幕希送手提袋和乐扣储物罐 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006182.html,2017-06-10 17:28:13
39,945006700,0000000000,伊利味可滋香蕉1提+味可滋哈密瓜1提（买就送出游收纳六件套） 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006700.html,2017-06-10 17:28:22
40,945006699,0000000000,伊利味可滋香蕉1提+味可滋巧克力1提（买就送出游收纳六件套） 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006699.html,2017-06-10 17:28:33
41,945006697,0000000000,伊利谷粒多红谷1提+味可滋哈密瓜1提（买就送出游收纳六件套） 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006697.html,2017-06-10 17:28:42
42,945006698,0000000000,伊利谷粒多黑谷1提+谷粒多燕麦1提（买就送出游收纳六件套） 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006698.html,2017-06-10 17:28:51
43,945006183,0000000000,买2提安幕希蓝莓原味送手提袋和乐扣储物罐 纯牛奶【价格 图片 品牌 报价】-苏宁易购苏宁自营,,0.0,0.0,0.0,0.0,1,http://product.suning.com/0000000000/945006183.html,2017-06-10 17:29:02
