,itemid,impressions,grab_time
0,153368847,口感很好:364-价格便宜:338-性价比高 :330-发货很快:320-味道香而浓郁:289-新鲜:274-服务很好:271-日期新鲜:252,2017-08-07 17:48:14
1,153368846,口感很好:362-发货很快:320-性价比高 :315-价格便宜:310-日期新鲜:261-服务很好:255-味道香而浓郁:252-新鲜:209,2017-08-07 17:48:25
2,187724232,服务很好:5-发货很快:5-口感很好:5-味道香而浓郁:5-性价比高 :5-新鲜:3-价格便宜:2-日期新鲜:2,2017-08-07 17:48:36
