,itemid,shopid,goods_title,goods_price,goods_judge_num,bestJudgeNum,midJudgeNum,worstJudgeNum,goods_addr,goods_url,grab_time
0,153368847,0000000000,【苏宁超市】蒙牛 甜小嗨甜牛奶利乐基础包250ml*12盒（女版） 蒙牛(MENGNIU)纯牛奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,,2578,2539,19,20,1,http://product.suning.com/0000000000/153368847.html,2017-08-09 18:42:38
1,153368846,0000000000,【苏宁超市】蒙牛甜小嗨甜牛奶利乐基础包250ml*12盒（男版） 蒙牛(MENGNIU)纯牛奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,39.90,2332,2291,23,18,1,http://product.suning.com/0000000000/153368846.html,2017-08-09 18:42:52
2,187724232,0000000000,【苏宁超市】蒙牛 甜小嗨常温风味酸牛奶利乐钻200g*12盒 蒙牛(MENGNIU)酸奶【价格 图片 品牌 报价】-苏宁易购蒙牛官方旗舰店,52.90,1532,1519,8,5,1,http://product.suning.com/0000000000/187724232.html,2017-08-09 18:43:02
